Hourly measurement data supplied by UK-air on 20/04/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Cambridge Roadside",,,,,
Latitude,,52.202370,,,,,,
Longitude,,0.124456,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Eastern,,,,,,
Agglomeration,,#N/A,,,,,,
Local Authority,,"Cambridge",,,,,,
Date,Time,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status
2019-01-03,13:00:00,26.49603,V ugm-3,33.58693,V ugm-3,74.21361,V ugm-3
2019-01-03,14:00:00,25.20609,V ugm-3,34.59399,V ugm-3,73.24279,V ugm-3
2019-01-03,15:00:00,38.5587,V ugm-3,39.73907,V ugm-3,98.86159,V ugm-3
2019-01-03,16:00:00,41.8707,V ugm-3,40.64744,V ugm-3,104.8483,V ugm-3
2019-01-03,17:00:00,37.16417,V ugm-3,43.87289,V ugm-3,100.85716,V ugm-3
2019-01-03,18:00:00,28.55296,V ugm-3,40.6266,V ugm-3,84.40719,V ugm-3
2019-01-03,19:00:00,29.59886,V ugm-3,35.73292,V ugm-3,81.1172,V ugm-3
2019-01-03,20:00:00,19.66285,V ugm-3,35.75845,V ugm-3,65.90773,V ugm-3
2019-01-03,21:00:00,17.64078,V ugm-3,34.7599,V ugm-3,61.80872,V ugm-3
2019-01-03,22:00:00,23.14917,V ugm-3,36.022,V ugm-3,71.51689,V ugm-3
2019-01-03,23:00:00,26.60062,V ugm-3,37.63343,V ugm-3,78.42049,V ugm-3
2019-01-03,24:00:00,22.48677,V ugm-3,36.6062,V ugm-3,71.08542,V ugm-3
2019-01-04,01:00:00,14.79611,V ugm-3,33.47225,V ugm-3,56.1593,V ugm-3
2019-01-04,02:00:00,4.93204,V ugm-3,30.38118,V ugm-3,37.94353,V ugm-3
2019-01-04,03:00:00,5.47875,V ugm-3,27.13093,V ugm-3,35.53156,V ugm-3
2019-01-04,04:00:00,7.11888,V ugm-3,28.45004,V ugm-3,39.36551,V ugm-3
2019-01-04,05:00:00,18.42535,V ugm-3,32.65944,V ugm-3,60.91124,V ugm-3
2019-01-04,06:00:00,30.63912,V ugm-3,36.39564,V ugm-3,83.37496,V ugm-3
2019-01-04,07:00:00,82.49529,V ugm-3,43.93086,V ugm-3,170.42188,V ugm-3
2019-01-04,08:00:00,169.52713,V ugm-3,52.66413,V ugm-3,312.60211,V ugm-3
2019-01-04,09:00:00,176.43664,V ugm-3,53.57157,V ugm-3,324.10397,V ugm-3
2019-01-04,10:00:00,137.73643,V ugm-3,41.79393,V ugm-3,252.98685,V ugm-3
2019-01-04,11:00:00,128.80293,V ugm-3,46.36589,V ugm-3,243.86097,V ugm-3
2019-01-04,12:00:00,63.26733,V ugm-3,43.7677,V ugm-3,140.77625,V ugm-3
2019-01-04,13:00:00,64.62829,V ugm-3,45.19087,V ugm-3,144.28621,V ugm-3
2019-01-04,14:00:00,74.81807,V ugm-3,43.82259,V ugm-3,158.54203,V ugm-3
2019-01-04,15:00:00,69.37422,V ugm-3,48.38976,V ugm-3,154.76208,V ugm-3
2019-01-04,16:00:00,84.20522,V ugm-3,49.5709,V ugm-3,178.68378,V ugm-3
2019-01-04,17:00:00,75.37641,V ugm-3,49.0144,V ugm-3,164.58996,V ugm-3
2019-01-04,18:00:00,79.00565,V ugm-3,47.2836,V ugm-3,168.42391,V ugm-3
2019-01-04,19:00:00,84.76357,V ugm-3,49.63278,V ugm-3,179.60177,V ugm-3
